Path	Description	Genes
Aryl Hydrocarbon Receptor Netpath	The Aryl Hydrocarbon receptor (AhR) is ligand activated transcription factor that regulates wide spectrum of gene expression. The main mediator of AhR is 2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD) or polycyclic aromatic hydrocarbons which are widespread environmental pollutant causing a variety of severe health effects, e.g. immunosuppression, carcinogenesis and hepatotoxicity. AhR is a member of basic helix-loop-helix-Per-Arnt-Sim (bHLH-PAS) superfamily of transcription factors. In the absence of ligand, the AhR can be found in the cytosol, bound to a dimer of the heat shock protein of 90 kDa (Hsp90) and the immunophilin-like protein, AIP (also known as XAP2 and ARA9). Upon ligand binding, the AHR translocates to the nucleus and binds with ARNT. The AHR/ARNT heterodimer binds to xenobiotic response elements and regulates a diverse set of genes.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2586 CPTAC Assay Portal]	KLF6,NRAS,Nrf2,Rb,EGFR,COX-2,MAP2K1,CYP1B1,Rel A,p21cip1,CD36,ARNT,VEGF,E2F1,CYP1A1,HRAS,p50,SRC-1,CYP1A2,TNF-ÃŽÂ±,HSP90,CDK2,P23,KRAS,AHR,RAF1,AHRR,AIP,CCL1,CDC37,p27Kip1
Neurotransmitter Disorders	Neurotransmitters are chemical messengers which mediate, amplify, or modulate synaptic transmissions between neurons, meaning that many are involved in primary brain functions such as movement, pain threshold, memory, and so on. The are various disorders associated with neurotransmitter dysfunction, which may also be caused by defects in the neurotransmitter transporters. This pathway describes various defects including deficiencies of tyrosine hydrolyse (TH), aromatic l-amino acid decarboxylase (AADC), dopamine Beta-Hydroxylase (DBH), monoamine oxidase A, as well as the heredity dopamine transporter syndrome and the brain dopamine-serotonin vesicular transporter (VMAT2) disease. This pathway was inspired by Chapter 31 (neurotransmitter Disorders) of the book of Blau (ISBN 3642403360 (978-3642403361)).	
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma	miR-148a and miR-31 target the factor inhibiting hypoxia (FIH1) to promote downstream HIF1α and Notch signaling	VEGFC,HEY1,MIR31,HES1,VEGFA,HIF1A,HIF1AN,VEGFB
Pyrimidine metabolism and related diseases	Overview of pyrimidine metabolism and related diseases	UMPS-complex,CAD-complex
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection	This pathway is based on Figure 4 of "A Model of an Integrated Immune System Pathway in Homo sapiens and Its Interaction with Superantigen Producing Expression Regulatory Pathway in Staphylococcus aureus: Comparing Behavior of Pathogen Perturbed and Unperturbed Pathway"(see bibliography). The pathway displays the T-cell receptors of homo sapiens when infected with the disease Staphylococcus Enterotoxin B. The binding of a superantigen to the T cell receptor results in a protein signaling pathway resulting in cell proliferation, differentiation, and immune response due to altered DNA expression. SEB refers to Staphylococcal Enterotoxin B.	Cd4,ERK,Cd28,Jun,PD1,NFAT,PI3K,IKb,Pak,GADS,Pdk1,Cbl,Cd8,IL10,MEK1,p38,SLP76,CD40L,Nck,CARMA1,Lck,IL2,Zap70,Fyn,TNF-alpha,TCR-alpha,CD45,Malt1,SHP1,RAS,Gsk3b,NIK,Dag,AP1,Cdk4,NF-Kb,MEK2,GRP1,Ctla4,PKC-theta,PLC-1y,TCR-beta,Calcineurin,COT,IFN-gamma,Grb2,TAK1,SOS,MKK7,IKK-beta,ICOS,Dlgh1,Akt,CD3,IKK-alpha,IL5,Raf,IL4,Itk,JNK2,IKK-gamma,Bcl10,Fos,LAT,GM-CSF
Somitogenesis in the context of spondylocostal dysostosis	Taken from The role of Notch in patterning the human vertebral column by Sally L Dunwoodie [https://www.ncbi.nlm.nih.gov/pubmed/19608404] and The many roles of Notch signaling during vertebrate somitogenesis by Kanu Wahi, Matthew S. Bochter, Susan E. Cole [https://www.ncbi.nlm.nih.gov/pubmed/25483003].Spondylocostal dysostosis-associated genes refine Notch1 signaling in the anterior presomitic mesoderm in mammalian somitogenesis. Interaction between Notch pathway components. Dll1 activates Notch1 signaling producing N1ICD, and Dll3 inhibits Notch1 signaling. N1ICD activates transcription of Mesp2, Lfng and Hes7. Hes7 protein inhibits its own transcription and that of Lfng. The effect of Lfng on Notch1 signaling is contradictory; it can potentiate Notch1 signaling in cultured mammalian cells, and inhibit signaling in the embryo. Mesp2 protein activates the transcription of Lfng, Ripply2 and Epha4. Ripply2 inhibits the transcription of Mesp2 and Epha4 is implicated in somite border formation in zebrafish but is not required for this in mouse.Linked with a dotted arrow to the GeneProduct nodes are diseases caused by mutation in the respective gene.	DLL3,LFNG,TBX6,MESP2,HES7,DLL1,NOTCH1,EPHA4,RIPPLY2
Polyol Pathway	When glucose is unused, it is metabolized via the polyol pathway. This pathway consists of two main enzymatic steps. First, glucose is reduced to sorbitol by aldose reductase. In this step, NADPH is oxidized to NADP+. The next step is the oxidation of sorbitol to D-fructose by sorbitol dehydrogenaseFructose can then be phosphorylated by fructokinase and subsequently be metabolized via dihydroxyacetone phosphate or glyceraldehyde to D-glyceraldehyde 3-phosphate, which can be used as a substrate in the process of glycolysisThe sorbitol pathway plays a role in diabetic renal complications because aldose reductase metabolizes the excess of glucose to toxic metabolites that induce hyperfiltration and glomerular dysfunction.	SORD,ALDOB,Fructokinase,ALR2
Riboflavin and CoQ disorders	Riboflavin (aka Vitamin B2) is used as molecular precursor for the formation of FAD and FMN, which are both essential cofactors in beta-oxidation, branched-chain-amino-acid catabolism and the mitochondrial electron transport of the TCA cycle.Coenzyme Q10 (aka ubiquinone or CoQ10) functions as a electron carrier, antioxidant and influences pyrimidine metabolism directly.This pathway was inspired by Chapter 16 (ed. 4) from the book of Blau (ISBN 3642403360 (978-3642403361)).	CETF,ETFDH gene
NRF2-ARE regulation	Under basal conditions, Nrf2 is sequestered to the cytoplasm through binding with Keap1/Cul3/RBX1 and continually degraded via the proteasome. On early response to external stressors, Keap1 is oxidized or Nrf2 is phosphorylated by PKC. Nrf2 then translocates into the nucleus and binds to ARE (antioxidant-responsive) genes in order to increase or decrease transcription. A delayed response to external stressors causes phosphorylation of GSK-3β (by unknown tyrosine kinases), GSK-3β then activates Src kinases, which then translocate to the nucleus. Src kinases phosphorylate Nrf2 (Tyr568) which allows for nuclear export, ubiquitination and degradation of Nrf2. If insulin receptor signaling is initiated, GSK-3β activity is inhibited. Keap1 is also able to regulate Nrf2 activity through sequestration with PGAM5 to the mitochondria. In addition, PI3K also phosphorylates the CEBPB, inducing its translocation to the nucleus where it binds to the CEBPB response element within the xenobiotic response element, in conjunction with NRF2 binding to ARE.Description was adapted from Fig 1 in Vomhof-Dekrey et al, and Fig 4 in Surh et al.	CUL3,SRC,ERK,HO-1,PKC,MAF,JNK,P38,PGAM5,GCLC,SLC7A11,RBX1,INSR,CEBPB,FYN,PI3K,KEAP1,GCLM,NQO1,GSTA2,NRF2,YES1,GSK3B
Iron metabolism in placenta	During pregnancy, iron is transported from mother to fetus across the placenta. Iron is essential for many biological processes, including the transfer of oxygen in blood, but it can also be toxic. Elaborate and elegant mechanisms have evolved to make sure that the potential for oxidative damage is minimized. This description of Iron pathway through the placenta, and its regulation is purposed to understand the effect of Iron deficiency or Iron overload of the mother on the fetusProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2007 CPTAC Assay Portal]	SLC40A1,MCOLN1,TFR2,STEAP3,HEPHL1,IRP1,IREB2,SLC11A2
Apoptosis	Apoptosis is a distinct form of cell death that is functionally and morphologically different from necrosis. Nuclear chromatin condensation, cytoplasmic shrinking, dilated endoplasmic reticulum, and membrane blebbing characterize apoptosis in general. Mitochondria remain morphologically unchanged. In 1972 Kerr et al introduced the concept of apoptosis as a distinct form of "cell-death", and the mechanisms of various apoptotic pathways are still being revealed today.  Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP254 CPTAC Assay Portal]	CASP7,MCL1,TNFRSF1B,TNFRSF1A,CASP9,CASP1,IRF5,BCL2L2,TNFRSF21,TNFRSF10B,TRAF3,BCL2L11,NFKB1,IRF3,PIK3R1,BIRC3,RIPK1,HELLS,CASP8,TNFRSF25,CYCS,AKT1,CASP6,BIRC4,MAP3K1,CRADD,RELA,HRK,FASLG,CASP4,MDM2,CFLAR,LTA,IRF4,TRAF1,CDKN2A,CASP10,IGF2,TP53,TRAF2,BBC3,TNF,NFKBIE,IRF6,IKBKB,MIR29A,BAX,TNFSF10,PMAIP1,BIRC5,IKBKG,IRF2,IGF1R,GZMB,DFFA,FADD,IGF1,APAF1,CHUK,NFKBIB,IRF1,IRF7,MYC,MIR29B1,BID,TP63,TP73,BAK1,BIRC2,PRF1,CASP3,DIABLO,BCL2,BOK,MIR29B2,MAP2K4,DFFB,NFKBIA,JUN,BAD,TRADD,CASP11,FAS,MAPK10,CASP2,BNIP3L,BCL2L1
Oxidative phosphorylation	Oxidative phosphorylation is the process in which ATP is formed as a result of the transfer of electrons from NADH or FADH2 to O2 by a series of electron carriers. This process, which takes place in mitochondria, is the major source of ATP in aerobic organisms. [https://www.ncbi.nlm.nih.gov/books/NBK21208/] Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP623 CPTAC Assay Portal]	ATP5G1,CI-51kD,ND6,ASHI,MT-ATP6,ND5,ATP5O,NDUFA2,B13,NDUFV3,B9,CI-75Kd,ATP5J,ND2,ATP5D,NDUFA8,B22,ND3,ND4L,NDUFS6,ATP5B,ATP5G2,NDUFA11,NUOMS,GZMB,B14,NDUFB4,ATP5H,NDUFB2,ATP5J2,ATP5G3,ATP6AP1,KFYI,NDUFS3,B17,AQDQ,NDUFS8,NDUFV2,ATP6AP2,B14.5a,ATP5E,B14.5b,NDUFS7,CI-42KD,ATP5I,NDUFB10,FASN2A,ND4,NDUFA9,ATP5S,B18,NDUFA4,NDUFS2,CI-SGDH,ATP6,ATP5A1,ATP5F1,MT-ATP8,ND1,ATP5L,B15,NDUFS5
SARS-CoV-2 and Angiotensin-converting enzyme 2 receptor: molecular mechanisms	For initial entry of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) into cells, the large viral Spike (S) protein needs to be primed by host proteases. For SARS-CoV-2 that is the serine protease TMPRSS2. After binding to its functional receptor, angiotensin-converting enzyme 2 (ACE2), the virus undergoes endocytosis. After endocytosis of the viral complex, surface ACE2 is further down-regulated, resulting in unopposed angiotensin 2 accumulation. Local activation of the angiotensin pathway system may mediate lung injury responses to viral insults.ACE denotes angiotensin-converting enzyme and ARB angiotensin-receptor blocker	Soluble ACE2,ACE2,TMPRSS2,REN,AT1R,AGT,MAS1
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	RANKL (Receptor activator of nuclear factor-kappa B ligand), RANK (Receptor activator of nuclear factor-kappa B) and the natural decoy receptor of RANKL, OPG (Osteoprotegerin) are three important molecules identified to play a major role in osteoclastogenesis and bone remodelling. They are members of the tumor necrosis factor (TNF) superfamily. OPG was the first molecule to be discovered and proved to inhibit osteoclastogenesis both in vivo and in vitro. Unlike other members of TNF family, OPG lack a transmembrane domain and is secreted as a soluble protein by the cell. RANKL is the only known physiological agonist for its receptor, RANK. Genetic experiments have shown that mice lacking either rankl or rank suffer from severe osteoporosis and defective tooth eruption due to complete lack of osteoclasts. On the contrary, mice deficient of OPG shows osteoporosis due to increased number of osteoclasts. Binding of RANKL to RANK triggers downstream signaling events that leads to the activation of osteoclasts and controlling of lineage commitment. RANKL/RANK signaling is essential for skeletal homoeostasis and its interference leads to inhibition of bone resorption resulting in bone diseases including osteoporosis osteopetrosis and rheumatoid arthritis. RANK being a member of TNF family does not possess any kinase activity. It recruits adaptor molecules to transduce the signal after ligand binding. These adaptor molecules are called TNFR-associated factors or TRAF's that binds to different regions in the cytoplasmic tail of the TNF family receptors and transduces the signal downstream. TRAF6 is the main adaptor molecule which activates NF-κB pathway downstream of RANKL signaling which is required for osteoclastogenesis and osteoclast activation. TRAF6 mutant mice have shown a partial block in osteoclastogenesis and defective activation of mature osteoclasts. Mice lacking NF-κB p50 and p52 proteins have been shown to be osteopetrotic. Catalytic subunits, IκB kinase α and IκB kinase β and the non-catalytic subunit IKKγ (also called NEMO) are also essential for RANKL-RANK signaling and osteoclastogenesis. IKKγ is required for osteoclastogenesis induced by RANKL in mice both in vivo and in vitro whereas IKKα was shown to be required in mice only in in vitro. Several mitogen activated protein kinases (MAPK's) have been shown to be activated downstream of RANK. Studies have shown that pharmacological inhibition of p38 MAPK's blocked RANKL induced osteoclast differentiation. JNK1/2, its upstream kinase MKK7 and c-Jun have also been shown by genetic experiments to be essential for RANKL induced osteoclastogenesis. MAPK1 and MAPK3 phosphorylation was also shown to be dispensable for RANKL mediated osteoclast differentiation in vitro, but another report also show that specific inhibitors to MEK increased RANKL induced osteoclastogenesis suggesting a cross talk between p38 and ERK signaling pathways. NFATc1 is an essential downstream target of RANK. Ca2+ oscillations induced by RANKL activated NFATc1 resulting in terminal differentiation of osteoclasts through the Ca2+- dependent calcineurin pathway. NFATc1 translocates to the nucleus where it interacts with other transcription factors leading to the activation of transcription of genes including ACP5, CTSK, TNFRSF11A and NFATc1 under RANKL stimulation. TRAF6 and c-Src interacts with each other and with RANK upon stimulation with RANKL. This interaction increases the kinase activity of c-Src leading to the tyrosine phosphorylation of downstream molecules such as c-Cbl and activation of Akt/PKB which in turn requires the PI3-Kinase activity. Genetic experiments have shown that c-Src is very important in osteoclastogenesis. In addition to these pathways, aPKC/p62 signaling is also reported to be essential for osteoclastogenesis. Apart from their role in osteoclast differentiation and function, RANKL-RANK signaling is also required for development of lymph node and lactating mammary glands in mice and in the establishment of thymic microenvironment.Please access this pathway at [http://www.netpath.org/netslim/rankl_pathway.html NetSlim] databaseIf you use this pathway, please cite following paper: Raju, R., Balakrishnan, L., Nanjappa, V., Bhattacharjee, M., Getnet, D., Muthusamy, B., Thomas, J. K., Sharma, J., Rahiman, B. A., Harsha, H. C., Shankar, S., Prasad, T. S. K., Mohan, S. S., Bader, G. D., Wani, M. R. and Pandey, A. (2011). A comprehensive manually curated reaction map of RANKL/RANK signaling pathway. Database (Oxford). 2011, bar021.	
Major receptors targeted by epinephrine and norepinephrine	The physiologic "fear" response is associated with the signaling activity of adrenergic receptors stimulated by epinephrine/norepinephrine.	
Interleukin-1 Induced Activation of NF-kappa-B	Interleukin-1 Induced activation of NF-kB through the phosphorylated TRAF6/Ajuba/PKCz/SQST1 complex. The pathway is defined by multiple binding steps to the TRAF6/Ajuba/PKCz/SQST1 complex. The small arrows constitute a earlier binding. After binding occurs the complex is phosphorylated and activates NF-kB. This pathway is based on figure 6 from Li et al.	UEV1A,IL-1,NF-KB,PKCZ,IRAK1,SQSTM1,TIFA,AJUBA,UBC13,TRAF6
Kisspeptin/Kisspeptin Receptor System in the Ovary	The signalling pathway of the kisspeptin/kisspeptin receptor interaction in the ovary, including its effects on follicular development, oocyte maturation, ovulation, and steroidogenesis.	MAPK3,ARRB2,PRKCQ,PRKCE,KISS1R,HRAS,MAPK1,STAR,PLCB3,AMH,PLCB2,RAF1,GDF9,AKT1,KISS1,CYP11A1,HSD3B1,BMP15,PRKCD,MAP2K1,ARRB1,PRKCH,AKT2,NFKB1,MAP2K2,Gene,MMP9,PLCB1,PDK1,PIK3CA,KRAS,FSHR,PRKCB,NRAS,PIK3CG,PLCB4,PIK3CB,PIK3CD,PRKCA,PRKCG
NO metabolism in cystic fibrosis	This pathway describes the NO metabolism in cystic fibrosis (CF) and is based on Figure 1 of Brinkmann et al. 2020.	NOS3,PRMT1,PRMT8,PRMT5,PRMT7,Carboxyl anhydrase,PRMT2,DDAH1,PRMT6,NOS1 ,PRMT3,NOS2,CARM1,DDAH2
Structural Pathway of Interleukin 1 (IL-1)	IL-1 signaling pathway reconstructed by combining related pathways and information from the literature. This detailed map of IL-1 signaling presents the protein-protein interactions and the resulting cellular events. The colored nodes represent proteins having experimentally identified 3D structures and the white nodes are the proteins without 3D structures. The edges represent protein-protein interactions (straight/dashed arrows relate to available/unavailable 3D structures of proteins) or associations leading to cellular events such as cell cycle or gene expression (dashed arrows beginning with circular heads)doi:10.1371/journal.pcbi.1003470.g002Pathway published in http://www.ploscompbiol.org/article/info%3Adoi%2F10.1371%2Fjournal.pcbi.1003470Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2637 CPTAC Assay Portal].	IL1B,TAB3,IL1R1,MSK1,MKK1&#10;,TAB2,ERK2,IL1RAP,c-Jun,CREB341,c-Myc,IKKgamma,NF-kappaB p50,MKK2&#10;,JNK2,NIK,HSP27,IRAK1,IKKalpha,Mnk1,JNK1,JNK3,MKK7&#10;,MAPKAPK2,TRAF6,TOLLIP,MKK4&#10;,ERK1,ATF2,IRAK4,MEKK1,c-Fos,IRF7,IRAK2,MBP,eIF-4E,MKK6,TAB1,MYD88,ELK1,IL1A,IKKbeta,IkappaBbeta,IkapaBalpha,MEKK3, TAK1,NF-kappaB p65,Histone H3,MAPKp38alpha,TPL2,Mnk2,NF-kappaB p105,MKK3&#10;,MAPKp38beta
